ID,Created,Data,EntityID
fa8d6d6f-24f8-4517-ba09-f2ed7e6f2dfc,2024-07-20 13:49:45.584352+00:00,"{'ID': '7c59fc50-6aa8-4df4-abaa-9b5a35e4d29c', 'CounterpartyName': 'Jaguar', 'CEO': 'Nick Cassidy', 'Strategy': 'Mitch Evans', 'PlatformLead': 'Someone else', 'DealLead': 'Another person', 'FinanceLead': 'Who is this', 'Created': datetime.datetime(2024, 7, 20, 13, 49, 45, 540336, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 20, 13, 49, 45, 540377, tzinfo=datetime.timezone.utc)}",7c59fc50-6aa8-4df4-abaa-9b5a35e4d29c
6f3154df-05df-44ed-878e-08ffdd1491ca,2024-07-20 14:00:09.081415+00:00,"{'ID': '128f1c8d-5de9-4219-aa7c-8ec9efe6a4ad', 'CounterpartyID': '7c59fc50-6aa8-4df4-abaa-9b5a35e4d29c', 'ProjectName': 'London Formula E race 2024', 'Long': 50.0, 'Lat': 0.01, 'Technology': 'Solar', 'SolarCapacity': 15.0, 'WindCapacity': 0.0, 'BESSCapacity': 0.0, 'ProjectStatus': 'Construction', 'RTBDate': datetime.datetime(2024, 7, 20, 0, 0), 'RAGStatus': 'Red', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 20, 13, 58, 36, 161652, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 20, 13, 58, 36, 161660, tzinfo=datetime.timezone.utc)}",128f1c8d-5de9-4219-aa7c-8ec9efe6a4ad
e817214d-a8eb-46a8-a713-66270dab5b5b,2024-07-20 14:22:54.575963+00:00,"{'ID': 'cc075c5d-4324-43e6-9aaf-565c34a0a874', 'CounterpartyName': 'test counterpartyname', 'CEO': 'Me', 'Strategy': 'You', 'PlatformLead': 'Us', 'DealLead': 'Are meant', 'FinanceLead': 'to be', 'Created': datetime.datetime(2024, 7, 20, 14, 22, 38, 760267, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 20, 14, 22, 38, 760507, tzinfo=datetime.timezone.utc)}",cc075c5d-4324-43e6-9aaf-565c34a0a874
29254936-ec3c-4ff9-a12a-501c074add3f,2024-07-20 23:58:04.068078+00:00,"{'ID': '64010c0f-b806-4a05-9433-3d6dbec81400', 'CounterpartyID': 'bb511707-1bea-4011-baf8-1d8cc38bd473', 'ProjectName': 'Amazing pipeline', 'Long': 50.0, 'Lat': 0.01, 'Technology': 'Wind', 'SolarCapacity': 0.0, 'WindCapacity': 200.0, 'BESSCapacity': 0.0, 'ProjectStatus': 'Commissioning', 'RTBDate': datetime.datetime(2026, 7, 21, 0, 0), 'RAGStatus': 'Green', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 20, 23, 57, 23, 574883, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 20, 23, 57, 23, 574890, tzinfo=datetime.timezone.utc)}",64010c0f-b806-4a05-9433-3d6dbec81400
6087441c-e730-4464-96e9-24be079f554d,2024-07-22 09:44:10.878843+00:00,"{'ID': 'ab6dbd90-47ed-4e1f-b783-c19eb39b2be4', 'Title': 'New information point', 'Description': 'This is a long description for the information point', 'Market': 'Europe', 'Technology': 'Solar', 'Counterparties': ""['Yellow Sun Enterprises', 'Aqua Marine Solutions', 'New firm']"", 'Impact': 33, 'Likelihood': 81, 'Created': datetime.datetime(2024, 7, 22, 9, 44, 10, 827536, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 9, 44, 10, 827540, tzinfo=datetime.timezone.utc)}",ab6dbd90-47ed-4e1f-b783-c19eb39b2be4
ade57ac3-961d-477d-a55b-7f5fb556c0d4,2024-07-22 10:21:00.069034+00:00,"{'ID': 'f22ae8e0-b1d1-48eb-a345-a801893cd6e6', 'Title': 'Europe assessment 2024', 'Description': 'Long description', 'Market': 'www', 'Technology': 'Solar', 'Counterparties': ""['Purple Wave Inc.', 'Golden Gate Tech']"", 'Impact': 20, 'Likelihood': 57, 'Rating': 1140, 'Created': datetime.datetime(2024, 7, 22, 10, 21, 0, 24217, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 10, 21, 0, 24221, tzinfo=datetime.timezone.utc)}",f22ae8e0-b1d1-48eb-a345-a801893cd6e6
44dbaadd-ff62-40e2-9038-1ff49d8b7cf2,2024-07-22 11:56:45.801161+00:00,"{'ID': '02c657b3-024c-4d11-b145-79136f22ce5f', 'CounterpartyID': 'b4e6573c-6b49-4672-8bc1-0fc88c31d952', 'ProjectName': ""Naomi's project"", 'Long': 50.0, 'Lat': 0.02, 'Technology': 'BESS', 'SolarCapacity': 0.0, 'WindCapacity': 0.0, 'BESSCapacity': 15.0, 'ProjectStatus': 'Discovery', 'RTBDate': datetime.datetime(2025, 7, 31, 0, 0), 'RAGStatus': 'Green', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 22, 11, 56, 15, 423354, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 11, 56, 15, 423361, tzinfo=datetime.timezone.utc)}",02c657b3-024c-4d11-b145-79136f22ce5f
ad20bab9-5d53-4f9f-afcb-4bafaf9a0b65,2024-07-22 12:19:05.723775+00:00,"{'ID': '7655f9f9-7a4d-472b-a1d3-d4fb5d46ffed', 'CounterpartyID': '67cfd292-a7d8-47b5-a8eb-f345f7bd4337', 'ProjectName': 'Test name', 'Long': 50.0, 'Lat': 0.002, 'Technology': 'Wind', 'SolarCapacity': 0.0, 'WindCapacity': 14.0, 'BESSCapacity': 0.0, 'ProjectStatus': 'Design', 'RTBDate': datetime.datetime(2024, 7, 22, 0, 0), 'RAGStatus': 'Red', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 22, 12, 19, 5, 673094, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 12, 19, 5, 673101, tzinfo=datetime.timezone.utc)}",7655f9f9-7a4d-472b-a1d3-d4fb5d46ffed
2ddd2518-bd52-4316-a68c-7f109661aa5c,2024-07-22 12:37:43.774510+00:00,"{'ID': '034b72ba-24c4-4e5c-b79c-71dbab28be07', 'CounterpartyID': 'b4e6573c-6b49-4672-8bc1-0fc88c31d952', 'ProjectName': 'BESS energy test', 'Long': 50.0, 'Lat': 0.002, 'Technology': 'BESS', 'SolarCapacity': 0.0, 'WindCapacity': 0.0, 'BESSCapacity': 100.0, 'ProjectStatus': 'Design', 'RTBDate': datetime.datetime(2026, 7, 31, 0, 0), 'RAGStatus': 'Green', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 22, 12, 31, 49, 730259, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 12, 31, 49, 730267, tzinfo=datetime.timezone.utc)}",034b72ba-24c4-4e5c-b79c-71dbab28be07
f1eea8b1-f38a-44ae-b0d7-40ec3cb35f38,2024-07-22 12:38:54.995413+00:00,"{'ID': '7691cbad-da2d-4ecb-af21-69281021ba98', 'CounterpartyID': '67cfd292-a7d8-47b5-a8eb-f345f7bd4337', 'ProjectName': 'test', 'Long': 50.0, 'Lat': 0.01, 'Technology': 'BESS', 'SolarCapacity': 0.0, 'WindCapacity': 0.0, 'BESSCapacity': 13.0, 'ProjectStatus': 'Design', 'RTBDate': datetime.datetime(2023, 7, 22, 0, 0), 'RAGStatus': 'Green', 'RAGComment': '', 'Created': datetime.datetime(2024, 7, 22, 12, 38, 37, 450900, tzinfo=datetime.timezone.utc), 'LastModified': datetime.datetime(2024, 7, 22, 12, 38, 37, 450908, tzinfo=datetime.timezone.utc)}",7691cbad-da2d-4ecb-af21-69281021ba98
