ID,CounterpartyID,ProjectName,Long,Lat,Technology,SolarCapacity,WindCapacity,BESSCapacity,ProjectStatus,RTBDate,RAGStatus,RAGComment,LastModified,Created
3d3c99c4-4ab8-49d6-9477-9c5a1f6b5a20,67cfd292-a7d8-47b5-a8eb-f345f7bd4337,EcoEnergize Project,-0.878,52.506,BESS,0,0,27.194,On hold,2010-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
0f99878a-baad-45ae-8ae4-6c7f6f720f97,1b5add9a-3006-4901-91db-fe26ab52d014,Solar Synergy,-2.638,52.253,BESS,0,0,30.687,Construction,2011-07-22 00:00:00,Green,All permits approved and financing secured.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
bcc1d1b7-3e33-4b4c-8b75-01e1f431f8ad,bb511707-1bea-4011-baf8-1d8cc38bd473,WindWave Initiative,-8.948,50.406,Solar,1.033,0,0,Construction,2012-07-22 00:00:00,Green,All permits approved and financing secured.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
d1237e08-498d-44e1-9a3b-6c91c1b7ebc4,34f50785-96b8-48af-a976-58e98b806a0c,GreenGrid Development,-9.883,56.8,Solar,49.765,0,0,Construction,2013-07-22 00:00:00,Amber,Pending minor approvals.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
23f3d2d7-8d23-4d7e-b6c2-e5642f6c8381,b4e6573c-6b49-4672-8bc1-0fc88c31d952,EcoSpark Ventures,-7.371,55.324,Wind,0,4.086,0,On hold,2014-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
b4725f29-8a2e-4e75-9a55-9208a1ab9a63,fbfcff01-6816-4309-95bf-9fe432519546,PurePower Plant,-9.403,58.505,BESS,0,0,5.953,Commissioning,2015-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
e0b3bc8b-7af7-4e9d-8f07-3e4d65a8d75d,7b234e8d-16b8-4491-8b2c-3c019220de4d,Sunrise Sustainability,-9.649,51.921,BESS,0,0,16.276,Discovery,2016-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
4313a8a3-1982-4b8e-9a2b-2a16fd979b0d,f5d3d001-63e9-4d7a-93fe-a8a391da69a0,HydroHarvest Project,-4.277,55.099,BESS,0,0,43.029,Design,2017-07-22 00:00:00,Green,All permits approved and financing secured.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
1a4d2d54-786a-4d8e-b2b0-5b629a4babae,4893ebe5-01f7-43d0-abf1-a6824163b852,Renewable Rise,-7.451,55.407,BESS,0,0,24.982,Completed,2018-07-22 00:00:00,Red,Major issues identified.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
59a3e3a7-5eb6-4c5a-bc1a-c5e0d6a8fb85,ec95b0b5-f648-4ca2-b45c-5e0b8a1ff4d4,BlueSky Energy,-0.507,50.249,BESS,0,0,2.261,On hold,2019-07-22 00:00:00,Green,All permits approved and financing secured.,2024-07-22 12:43:28.093790+00:00,2024-07-19 13:49:22.795695+00:00
